"game_decision","points","field_goals","field_goal_attempts","field_goal_percentage","X3pointers","X3pointer_attempts","X3pointer_percentage","free_throws","free_throw_attempts","free_throw_percentage","offensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","Home","Away","Neutral"
0,64,19,50,0.38,9,20,0.45,17,25,0.68,10,36,13,4,2,13,26,0,1,0
1,90,31,62,0.5,11,25,0.44,17,21,0.81,8,36,22,5,9,13,14,1,0,0
1,99,33,58,0.569,10,19,0.526,23,25,0.92,12,43,24,8,2,12,15,1,0,0
0,59,19,47,0.404,5,10,0.5,16,18,0.889,6,20,5,3,3,14,17,1,0,0
0,69,21,38,0.553,10,20,0.5,17,22,0.773,1,12,14,5,0,16,22,1,0,0
1,80,26,53,0.491,9,19,0.474,19,25,0.76,12,32,11,9,9,15,22,1,0,0
0,56,19,53,0.358,7,16,0.438,11,13,0.846,6,19,10,10,3,12,15,0,1,0
0,44,14,55,0.255,6,22,0.273,10,12,0.833,6,15,7,10,0,10,18,0,1,0
1,69,24,45,0.533,10,20,0.5,11,16,0.688,5,27,15,7,2,18,21,0,0,1
1,71,22,58,0.379,9,25,0.36,18,21,0.857,9,38,11,7,3,15,15,1,0,0
0,64,21,54,0.389,8,16,0.5,14,17,0.824,6,21,15,4,2,11,17,1,0,0
0,44,17,48,0.354,5,15,0.333,5,7,0.714,3,21,9,6,0,14,26,1,0,0
0,55,20,51,0.392,6,14,0.429,9,13,0.692,8,24,13,9,0,12,22,0,1,0
0,27,9,48,0.188,2,20,0.1,7,9,0.778,7,31,7,3,0,13,16,0,1,0
1,62,21,55,0.382,4,9,0.444,16,19,0.842,8,33,9,7,3,16,21,0,1,0
0,62,22,57,0.386,5,16,0.313,13,17,0.765,8,26,9,13,1,15,23,0,1,0
1,87,26,63,0.413,6,19,0.316,29,35,0.829,13,39,16,9,2,12,22,1,0,0
0,60,18,46,0.391,9,20,0.45,15,22,0.682,3,19,14,8,1,15,17,0,1,0
1,79,28,57,0.491,9,20,0.45,14,20,0.7,6,30,15,9,5,11,31,1,0,0
0,60,22,53,0.415,7,16,0.438,9,16,0.563,11,24,14,5,3,16,17,0,1,0
0,71,22,49,0.449,12,28,0.429,15,21,0.714,6,27,16,3,1,14,19,1,0,0
0,71,27,55,0.491,6,12,0.5,11,17,0.647,5,26,14,5,3,9,27,0,1,0
1,90,32,55,0.582,7,17,0.412,19,22,0.864,5,31,23,13,2,14,22,1,0,0
0,66,21,47,0.447,6,17,0.353,18,23,0.783,9,27,12,6,2,17,30,0,1,0
0,73,26,65,0.4,11,29,0.379,10,17,0.588,10,27,17,5,1,9,24,0,1,0
1,84,25,51,0.49,11,21,0.524,23,29,0.793,5,25,18,7,2,14,25,0,1,0
1,86,32,61,0.525,4,16,0.25,18,28,0.643,10,44,16,9,5,18,18,1,0,0
0,78,27,58,0.466,8,23,0.348,16,17,0.941,10,27,13,8,1,11,14,0,0,1
1,88,34,64,0.531,6,16,0.375,14,18,0.778,10,36,18,2,6,8,18,0,0,1
1,71,30,65,0.462,4,19,0.211,7,14,0.5,6,37,23,19,3,13,22,1,0,0
1,72,26,58,0.448,10,29,0.345,10,17,0.588,6,25,16,4,7,9,15,1,0,0
1,75,25,55,0.455,9,22,0.409,16,27,0.593,8,34,17,6,11,15,22,1,0,0
0,66,18,51,0.353,6,23,0.261,24,30,0.8,6,20,12,11,0,19,22,0,1,0
1,74,26,49,0.531,8,19,0.421,14,21,0.667,3,32,22,5,5,16,23,1,0,0
0,77,28,52,0.538,7,18,0.389,14,21,0.667,9,32,16,5,3,19,26,0,1,0
0,54,20,59,0.339,4,15,0.267,10,14,0.714,13,34,9,7,2,15,12,0,1,0
0,67,23,54,0.426,4,24,0.167,17,27,0.63,8,29,7,8,1,16,21,1,0,0
0,56,22,51,0.431,7,18,0.389,5,11,0.455,7,28,17,6,2,23,20,0,1,0
1,69,22,56,0.393,6,20,0.3,19,23,0.826,9,33,10,6,1,9,14,0,1,0
0,73,32,86,0.372,6,31,0.194,3,3,1,19,48,14,11,8,16,23,0,1,0
1,57,21,44,0.477,8,20,0.4,7,11,0.636,2,21,17,8,9,9,12,1,0,0
0,54,19,53,0.358,6,18,0.333,10,12,0.833,4,25,11,6,3,11,13,0,1,0
1,77,25,48,0.521,9,21,0.429,18,20,0.9,9,28,17,5,4,9,10,1,0,0
